LABEL,TEXT,URL,EMAIL,PHONE,LABEL_3WAY,is_synthetic,source,clean_text
ham,"Not yet chikku..going to room nw, i'm in bus..",No,No,No,HAM,False,Dataset_5971_real,"not yet chikku going to room nw, i'm in bus.."
ham,Aight do you still want to get money,No,No,No,HAM,False,Dataset_5971_real,aight do you still want to get money
ham,Life style garments account no please.,No,No,No,HAM,False,Dataset_5971_real,life style garments account no please.
ham,"Sorry, I'll call you  later. I am in meeting sir.",No,No,No,HAM,False,Dataset_5971_real,"sorry, i'll call you later. i am in meeting sir."
ham,I am sorry it hurt you.,No,No,No,HAM,False,Dataset_5971_real,i am sorry it hurt you.
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",No,No,No,HAM,False,Dataset_5971_real,"good afternoon, my love! how goes that day ? i hope maybe you got some leads on a job. i think of you, boytoy and send you a passionate kiss from across the sea"
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes,No,No,No,HAM,False,Dataset_5971_real,carlos says he'll be at mu in &lt;#&gt; minutes
ham,"Sorry, I'll call later..busy ryt now..",No,No,No,HAM,False,Dataset_5971_real,"sorry, i'll call later busy ryt now.."
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,No,No,yes,MARKETING_SPAM,False,Dataset_5971_real,text pass to 69669 to collect your polyphonic ringtones. normal gprs charges apply only. enjoy your tones
ham,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?,No,No,No,HAM,False,Dataset_5971_real,not enufcredeit tocall shall ileave uni at 6 +get a bus to yor house?
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,No,No,No,HAM,False,Dataset_5971_real,i am back. bit long cos of accident on a30. had to divert via wadebridge.i had a brilliant weekend thanks. speak soon. lots of love
ham,I finished my lunch already. U wake up already?,No,No,No,HAM,False,Dataset_5971_real,i finished my lunch already. u wake up already?
ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.,No,No,No,HAM,False,Dataset_5971_real,boo babe! u enjoyin yourjob? u seemed 2 b gettin on well hunny!hope ure ok?take care & illspeak 2u soonlots of loveme xxxx.
ham,And now electricity just went out fml.,No,No,No,HAM,False,Dataset_5971_real,and now electricity just went out fml.
ham,Where r we meeting?,No,No,No,HAM,False,Dataset_5971_real,where r we meeting?
ham,Argh why there is nobody in town ;_;,No,No,No,HAM,False,Dataset_5971_real,argh why there is nobody in town ;_;
ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",No,No,No,HAM,False,Dataset_5971_real,"good afternoon on this glorious anniversary day, my sweet j !! i hope this finds you happy and content, my prey. i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... you cougar-pen"
ham,K. I will sent it again�.sorry for the mistake�,No,No,No,HAM,False,Dataset_5971_real,k. i will sent it again�.sorry for the mistake�
ham,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ",No,No,No,HAM,False,Dataset_5971_real,"whats that coming over the hill..... is it a monster! hope you have a great day. things r going fine here, busy though!"
ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;,yes,No,No,HAM,False,Dataset_5971_real,i (career tel) have added u as a contact on indyarocks com to send free sms. to remove from phonebook - sms no to &lt;#&gt;
ham,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.,No,No,No,HAM,False,Dataset_5971_real,did u turn on the heater? the heater was on and set to &lt;#&gt; degrees.
ham,Wait 2 min..stand at bus stop,No,No,No,HAM,False,Dataset_5971_real,wait 2 min stand at bus stop
ham,Lol. Well quality aint bad at all so i aint complaining,No,No,No,HAM,False,Dataset_5971_real,lol. well quality aint bad at all so i aint complaining
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,No,No,No,HAM,False,Dataset_5971_real,ü say until like dat i dun buy ericsson oso cannot oredi lar...
ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",No,No,No,HAM,False,Dataset_5971_real,"actually, my mobile is full of msg. and i m doing a work online, where i need to send them &lt;#&gt; sent msg i wil explain u later."
Spam,Winters & Weddings. Enjoy the season with glittering garments. Wardrobe Drycleaning Best Quality @ Affordable rates. Over 60 outlets in NCR. Call 9654726000,No,No,No,MARKETING_SPAM,False,Dataset_5971_real,winters & weddings. enjoy the season with glittering garments. wardrobe drycleaning best quality @ affordable rates. over 60 outlets in ncr. call phonenumber
ham,"34000 of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",No,No,No,HAM,False,Dataset_5971_real,"34000 of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. and tomorrow will be the best day of your life. dont break this chain. if you break you will suffer. send this to &lt;#&gt; frnds in &lt;#&gt; mins whn u read..."
ham,I've reached already.,No,No,No,HAM,False,Dataset_5971_real,i've reached already.
ham,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,No,No,No,HAM,False,Dataset_5971_real,what to think no one saying clearly. ok leave no need to ask her. i will go if she come or not
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",No,No,yes,MARKETING_SPAM,False,Dataset_5971_real,"january male sale! hot gay chat now cheaper, call phonenumber . national rate from 1.5p/min cheap to 7.8p/min peak! to stop texts call phonenumber (10p/min)"
ham,I'm in class. Did you get my text.,No,No,No,HAM,False,Dataset_5971_real,i'm in class. did you get my text.
ham,Can you do a mag meeting this avo at some point?,No,No,No,HAM,False,Dataset_5971_real,can you do a mag meeting this avo at some point?
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,No,No,No,HAM,False,Dataset_5971_real,no. to be nosy i guess. idk am i over reacting if i'm freaked?
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,No,No,No,HAM,False,Dataset_5971_real,okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx
ham,"Come to mu, we're sorting out our narcotics situation",No,No,No,HAM,False,Dataset_5971_real,"come to mu, we're sorting out our narcotics situation"
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),No,No,No,HAM,False,Dataset_5971_real,s from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
ham,Nobody can decide where to eat and dad wants Chinese,No,No,No,HAM,False,Dataset_5971_real,nobody can decide where to eat and dad wants chinese
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",No,No,No,HAM,False,Dataset_5971_real,"my friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
ham,Huh so late... Fr dinner?,No,No,No,HAM,False,Dataset_5971_real,huh so late... fr dinner?
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...,No,No,No,HAM,False,Dataset_5971_real,yar lor actually we quite fast... cos da ge slow wat... haha...
ham,K and you're sure I don't have to have consent forms to do it :V,No,No,No,HAM,False,Dataset_5971_real,k and you're sure i don't have to have consent forms to do it :v
ham,"Omw back to tampa from west palm, you hear what happened?",No,No,No,HAM,False,Dataset_5971_real,"omw back to tampa from west palm, you hear what happened?"
ham,"Sorry, I'll call later..in a meeting..",No,No,No,HAM,False,Dataset_5971_real,"sorry, i'll call later in a meeting.."
ham,Ok. So april. Cant wait,No,No,No,HAM,False,Dataset_5971_real,ok. so april. cant wait
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.",No,No,No,HAM,False,Dataset_5971_real,"yup, no need. i'll jus wait 4 e rain 2 stop."
ham,I am in tirupur.  call you da.,No,No,No,HAM,False,Dataset_5971_real,i am in tirupur. call you da.
ham,"Sorry, was in the bathroom, sup",No,No,No,HAM,False,Dataset_5971_real,"sorry, was in the bathroom, sup"
ham,Yup i'm free...,No,No,No,HAM,False,Dataset_5971_real,yup i'm free...
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..",No,No,No,HAM,False,Dataset_5971_real,"not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
ham,I've told you everything will stop. Just dont let her get dehydrated.,No,No,No,HAM,False,Dataset_5971_real,i've told you everything will stop. just dont let her get dehydrated.
spam,Moby Pub Quiz.Win a £200 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.,No,No,yes,MARKETING_SPAM,False,Dataset_5971_real,moby pub quiz win a £200 high street prize if u know who the new duchess of cornwall will be? txt her first name to 82277.
Smishing,We owe you for the last tax year. Please follow our secure link http:Ow.ly/ozvo308t.Jxz for more information.,yes,No,No,SMISHING,False,Dataset_5971_real,we owe you for the last tax year. please follow our secure link http: ow ly ozvo308t jxz for more information.
ham,I'm leaving my house now. Will reach in half an hour�,No,No,No,HAM,False,Dataset_5971_real,i'm leaving my house now. will reach in half an hour�
Smishing,You are a winner U have been specially selected 2 receive £2000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910,No,No,yes,SMISHING,False,Dataset_5971_real,you are a winner u have been specially selected 2 receive £2000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim phonenumber
ham,Lol no ouch but wish i'd stayed out a bit longer,No,No,No,HAM,False,Dataset_5971_real,lol no ouch but wish i'd stayed out a bit longer
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!,No,No,No,HAM,False,Dataset_5971_real,thanx 4 puttin da fone down on me!!
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,No,No,No,MARKETING_SPAM,False,Dataset_5971_real,as one of our registered subscribers u can enter the draw 4 a 100 g.b. gift voucher by replying with enter. to unsubscribe text stop
ham,my ex-wife was not able to have kids. Do you want kids one day?,No,No,No,HAM,False,Dataset_5971_real,my ex-wife was not able to have kids. do you want kids one day?
ham,Aight should I just plan to come up later tonight?,No,No,No,HAM,False,Dataset_5971_real,aight should i just plan to come up later tonight?
ham,"I av a new number,  . Wil u only use this one,ta.",No,No,No,HAM,False,Dataset_5971_real,"i av a new number, . wil u only use this one,ta."
ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please....,No,No,No,HAM,False,Dataset_5971_real,dont flatter yourself... tell that man of mine two pints of carlin in ten minutes please....
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays,No,No,No,HAM,False,Dataset_5971_real,o. well uv causes mutations. sunscreen is like essential thesedays
Smishing,We currently have a message awaiting your collection. To collect your message just call 08718723815.,No,No,yes,SMISHING,False,Dataset_5971_real,we currently have a message awaiting your collection. to collect your message just call phonenumber .
ham,Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later.,No,No,No,HAM,False,Dataset_5971_real,hey mate. spoke to the mag people. we‘re on. the is deliver by the end of the month. deliver on the 24th sept. talk later.
ham,"Dont search love, let love find U. Thats why its called falling in love�.",No,No,No,HAM,False,Dataset_5971_real,"dont search love, let love find u. thats why its called falling in love�."
ham,Did u got that persons story..all well?,No,No,No,HAM,False,Dataset_5971_real,did u got that persons story all well?
ham,Some are lasting as much as 2 hours. You might get lucky.,No,No,No,HAM,False,Dataset_5971_real,some are lasting as much as 2 hours. you might get lucky.
ham,Will be out of class in a few hours. Sorry,No,No,No,HAM,False,Dataset_5971_real,will be out of class in a few hours. sorry
spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each",No,No,yes,MARKETING_SPAM,False,Dataset_5971_real,"3 free tarot texts! find out about your love life now! try 3 for free! text chance to 85555 16 only! after 3 free, msgs £1.50 each"
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,No,No,No,HAM,False,Dataset_5971_real,can you call me plz. your number shows out of coveragd area. i have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,"Alright we're hooked up, where you guys at",No,No,No,HAM,False,Dataset_5971_real,"alright we're hooked up, where you guys at"
ham,Long after I quit. I get on only like 5 minutes a day as it is.,No,No,No,HAM,False,Dataset_5971_real,long after i quit. i get on only like 5 minutes a day as it is.
spam,	FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,No,No,yes,MARKETING_SPAM,False,Dataset_5971_real,freemsg:feelin kinda lnly hope u like 2 keep me company! jst got a cam moby wanna c my pic?txt or reply date to 82242 msg150p 2rcv hlp phonenumber stop to 82242
ham,"Aight, I'll hit you up when I get some cash",No,No,No,HAM,False,Dataset_5971_real,"aight, i'll hit you up when i get some cash"
ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!,No,No,No,HAM,False,Dataset_5971_real,i wish! i don't think its gonna snow that much. but it will be more than those flurries we usually get that melt before they hit the ground. eek! we haven't had snow since &lt;#&gt; before i was even born!
ham,What is the plural of the noun research?,No,No,No,HAM,False,Dataset_5971_real,what is the plural of the noun research?
ham,here is my new address -apples&pairs&all that malarky,No,No,No,HAM,False,Dataset_5971_real,here is my new address -apples&pairs&all that malarky
ham,picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy,No,No,No,HAM,False,Dataset_5971_real,picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || very easy
ham,I'm in town now so i'll jus take mrt down later.,No,No,No,HAM,False,Dataset_5971_real,i'm in town now so i'll jus take mrt down later.
ham,Leave it. U will always be ignorant.,No,No,No,HAM,False,Dataset_5971_real,leave it. u will always be ignorant.
ham,I'm in a movie... Collect car oredi...,No,No,No,HAM,False,Dataset_5971_real,i'm in a movie... collect car oredi...
spam,"Over 3,0,000 songs on the www, music. nokia.com. Download 5 free tracks from the Nokia Music Store. Download now at http://music.nokia.co.in/myn5free",yes,No,No,MARKETING_SPAM,False,Dataset_5971_real,"over 3,0,000 songs on the www, music. nokia com . download 5 free tracks from the nokia music store. download now at music nokia co in myn5free"
ham,I'm leaving my house now...,No,No,No,HAM,False,Dataset_5971_real,i'm leaving my house now...
Smishing,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382,No,No,yes,SMISHING,False,Dataset_5971_real,free camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. call phonenumber
ham,Mine here like all fr china then so noisy.,No,No,No,HAM,False,Dataset_5971_real,mine here like all fr china then so noisy.
ham,Sleeping nt feeling well,No,No,No,HAM,False,Dataset_5971_real,sleeping nt feeling well
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",No,No,No,HAM,False,Dataset_5971_real,"i jus hope its true that missin me cos i'm really missin him! you haven't done anything to feel guilty about, yet."
ham,Thanks  and ! Or bomb and date as my phone wanted to say!,No,No,No,HAM,False,Dataset_5971_real,thanks and ! or bomb and date as my phone wanted to say!
ham,I dont thnk its a wrong calling between us..hope u understand,No,No,No,HAM,False,Dataset_5971_real,i dont thnk its a wrong calling between us hope u understand
ham,In sch but neva mind u eat 1st lor..,No,No,No,HAM,False,Dataset_5971_real,in sch but neva mind u eat 1st lor..
spam,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,No,No,No,MARKETING_SPAM,False,Dataset_5971_real,themob>yo yo yo-here comes a new selection of hot downloads for our members to get for free! just click & open the next link sent to ur fone...
ham,"Cool, text me when you're ready",No,No,No,HAM,False,Dataset_5971_real,"cool, text me when you're ready"
ham,Quite lor. But dun tell him wait he get complacent...,No,No,No,HAM,False,Dataset_5971_real,quite lor. but dun tell him wait he get complacent...
ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,No,No,No,HAM,False,Dataset_5971_real,rightio. 11.48 it is then. well arent we all up bright and early this morning.
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,No,No,No,HAM,False,Dataset_5971_real,i bought the test yesterday. its something that lets you know the exact day u ovulate when will get 2u in about 2 to 3wks. but pls pls dont fret. i know u r worried. pls relax. also is there anything in ur past history u need to tell me?
ham,"K I'm ready,  &lt;#&gt; ?",No,No,No,HAM,False,Dataset_5971_real,"k i'm ready, &lt;#&gt; ?"
