LABEL,TEXT,URL,EMAIL,PHONE
ham,"दिसंबर में ऋषिकेश फैमिली ट्रिप कन्फर्म हो गई है, बहुत उत्साहित हूं!",No,No,No
ham,"अनुस्मारक: लाइब्रेरी की किताबें 15-06-2026 तक वापस करनी हैं, उसके बाद विलंब शुल्क लगेगा।",No,No,No
ham,"इस सप्ताहांत सामुदायिक केंद्र में रक्तदान शिविर है, सभी आमंत्रित हैं।",No,No,No
ham,"केरल के लिए सस्ती फ्लाइट मिली है, बुक कर लें?",No,No,No
ham,सोसाइटी की वार्षिक बैठक 13-03-2026 को शाम 6 बजे क्लबहाउस में है।,No,No,No
ham,अनुस्मारक: सोसाइटी का रखरखाव शुल्क 28-11-2025 तक जमा करें अन्यथा विलंब शुल्क लगेगा।,No,No,No
ham,इस शनिवार स्थानीय क्लिनिक में मुफ्त स्वास्थ्य जांच शिविर है।,No,No,No
ham,"गोवा के लिए सस्ती फ्लाइट मिली है, बुक कर लें?",No,No,No
ham,पार्क 04-05-2025 से 17-11-2026 तक नवीनीकरण के लिए बंद रहेगा।,No,No,No
ham,कृपया अपने कचरे को गीले और सूखे डिब्बे में अलग करें।,No,No,No
ham,"इस लॉन्ग वीकेंड ऋषिकेश रोड ट्रिप का प्लान है, चलोगे?",No,No,No
ham,वो जयपुर वेकेशन अब आखिरकार प्लान कर लेते हैं जिसकी बात कर रहे थे।,No,No,No
ham,अगर आपने अभी तक अपना टीका नहीं लगवाया है तो नजदीकी केंद्र पर जाकर लगवाएं।,No,No,No
ham,सोसाइटी चुनाव के लिए मतदान इस रविवार को सामुदायिक भवन में होगा।,No,No,No
ham,"दिसंबर में शिमला फैमिली ट्रिप कन्फर्म हो गई है, बहुत उत्साहित हूं!",No,No,No
ham,"शिमला के लिए सस्ती फ्लाइट मिली है, बुक कर लें?",No,No,No
ham,"अनुस्मारक: लाइब्रेरी की किताबें 22-02-2026 तक वापस करनी हैं, उसके बाद विलंब शुल्क लगेगा।",No,No,No
ham,"पांडिचेरी के लिए सस्ती फ्लाइट मिली है, बुक कर लें?",No,No,No
ham,अनुस्मारक: सोसाइटी का रखरखाव शुल्क 02-08-2026 तक जमा करें अन्यथा विलंब शुल्क लगेगा।,No,No,No
