LABEL,TEXT,URL,EMAIL,PHONE
ham,Weekend trip Kerala chalein kya? Friday tak batao.,No,No,No
ham,"Agle mahine Goa trip plan karte hain, sab free ho na?",No,No,No
ham,Reminder: society maintenance 15-12-2026 tak jama karein warna late fee lagega.,No,No,No
ham,Kripya apna kachra geela aur sookha alag alag bins mein dalein.,No,No,No
ham,Society ki AGM 08-09-2025 ko 6 baje clubhouse mein hai.,No,No,No
ham,Society elections ke liye voting is Sunday community hall mein hogi.,No,No,No
ham,"December mein Manali family trip confirm ho gaya hai, bahut excited hoon!",No,No,No
ham,Reminder: society maintenance 09-03-2026 tak jama karein warna late fee lagega.,No,No,No
ham,Society ki AGM 12-10-2025 ko 6 baje clubhouse mein hai.,No,No,No
ham,Reminder: society maintenance 08-02-2025 tak jama karein warna late fee lagega.,No,No,No
ham,"Reminder: library ki kitabein 08-01-2026 tak wapas karni hain, uske baad late fee lagegi.",No,No,No
ham,"Agle mahine Manali trip plan karte hain, sab free ho na?",No,No,No
ham,"Is Saturday local clinic mein free health checkup camp hai, sabka swagat hai.",No,No,No
ham,"Reminder: library ki kitabein 01-05-2026 tak wapas karni hain, uske baad late fee lagegi.",No,No,No
ham,Woh Udaipur vacation ab finally plan kar lete hain jiske baare mein baat kar rahe the.,No,No,No
ham,Weekend trip Goa chalein kya? Friday tak batao.,No,No,No
ham,"Reminder: library ki kitabein 25-03-2026 tak wapas karni hain, uske baad late fee lagegi.",No,No,No
ham,"Agle mahine Rishikesh trip plan karte hain, sab free ho na?",No,No,No
ham,Woh Jaipur vacation ab finally plan kar lete hain jiske baare mein baat kar rahe the.,No,No,No
ham,"December mein Kerala family trip confirm ho gaya hai, bahut excited hoon!",No,No,No
ham,"Reminder: library ki kitabein 05-06-2026 tak wapas karni hain, uske baad late fee lagegi.",No,No,No
ham,"December mein Rishikesh family trip confirm ho gaya hai, bahut excited hoon!",No,No,No
ham,Reminder: society maintenance 01-06-2025 tak jama karein warna late fee lagega.,No,No,No
ham,Agar aapne abhi tak vaccine nahi lagwaya hai to nazdeeki health centre jaayein.,No,No,No
ham,"Is weekend community centre mein blood donation camp hai, sab aa sakte hain.",No,No,No
ham,"Is long weekend Kerala road trip ka plan hai, chalega?",No,No,No
ham,Reminder: society maintenance 14-03-2026 tak jama karein warna late fee lagega.,No,No,No
ham,Reminder: society maintenance 16-12-2026 tak jama karein warna late fee lagega.,No,No,No
ham,Reminder: society maintenance 19-01-2025 tak jama karein warna late fee lagega.,No,No,No
