LABEL,TEXT,URL,EMAIL,PHONE
ham,"Uber सदस्यांना आमच्या फेस्टिव्ह सेलचा लवकर अ‍ॅक्सेस मिळतो, निवडक मार्गांवर 10% सूट: https://uber.com/promotions/lYMKUH",yes,No,No
ham,"IndiGo: आत्ताच बुक करा आणि पुढच्या ट्रिपवर 10% सूट मिळवा, 03-10-2025 पर्यंत वैध. तपशील: https://goindigo.in/offers/8z41Yv",yes,No,No
ham,तुमचा Policybazaar प्लॅन लवकरच संपत आहे. आत्ताच रिन्यू करा आणि पहिल्या 3 महिन्यांवर 50% सूट मिळवा: https://policybazaar.com/renew/OY8N8O,yes,No,No
ham,boAt वर नवीन अरायव्हल्स आले आहेत! नवीनतम किराणा कलेक्शन पहा: https://boat-lifestyle.com/sale/IX760V,yes,No,No
ham,तुमचा Policybazaar प्लॅन लवकरच संपत आहे. आत्ताच रिन्यू करा आणि पहिल्या 3 महिन्यांवर 40% सूट मिळवा: https://policybazaar.com/renew/Hakvyp,yes,No,No
ham,शेवटची संधी: तुमच्या Disney+ Hotstar बोनस डेटा ऑफरची वैधता आज रात्री संपत आहे. एक्स्ट्रा बेनिफिटसाठी आत्ताच रिचार्ज करा: https://hotstar.com/subscribe/mqEN20,yes,No,No
ham,"BookMyShow दिवाळी धमाका सेल लाइव्ह आहे! होम डेकोर वर 70% पर्यंत सूट, स्टॉक संपण्यापूर्वी घाई करा: https://bookmyshow.com/offers/lqsgir",yes,No,No
ham,शेवटची संधी: तुमच्या Airtel बोनस डेटा ऑफरची वैधता आज रात्री संपत आहे. एक्स्ट्रा बेनिफिटसाठी आत्ताच रिचार्ज करा: https://airtel.in/offers/AKkleO,yes,No,No
ham,"Decathlon दिवाळी धमाका सेल लाइव्ह आहे! किराणा वर 80% पर्यंत सूट, स्टॉक संपण्यापूर्वी घाई करा: https://decathlon.in/sale/soUUGo",yes,No,No
ham,"redBus वर फ्लॅश सेल! भाडे Rs.250 पासून सुरू, मर्यादित काळासाठी. इथे बुक करा: https://redbus.in/offers/gNvY3L",yes,No,No
ham,"IndiGo सदस्यांना आमच्या फेस्टिव्ह सेलचा लवकर अ‍ॅक्सेस मिळतो, निवडक मार्गांवर 25% सूट: https://goindigo.in/offers/AcsWn8",yes,No,No
ham,SBI Card: मित्राला रेफर करा आणि दोघांनाही 250 रिवॉर्ड पॉइंट्स मिळतील. कोड JUXA28 शेअर करा: https://sbicard.com/offers/3ZDvvy,yes,No,No
ham,मर्यादित काळ: आजच तुमची Policybazaar मेंबरशिप अपग्रेड करा आणि वार्षिक फीवर Rs.200 वाचवा: https://policybazaar.com/renew/MwFELa,yes,No,No
ham,SBI Card: या आठवड्यात अ‍ॅपमधून बिल पेमेंट केल्यास 20% कॅशबॅक मिळवा. तपशील: https://sbicard.com/offers/FrdYeX,yes,No,No
ham,मर्यादित काळ: आजच तुमची Amazon Prime Video मेंबरशिप अपग्रेड करा आणि वार्षिक फीवर Rs.200 वाचवा: https://primevideo.com/offers/oRMPsR,yes,No,No
ham,मर्यादित काळ: आजच तुमची Jio मेंबरशिप अपग्रेड करा आणि वार्षिक फीवर Rs.500 वाचवा: https://jio.com/offers/udIagj,yes,No,No
ham,"Ola: आत्ताच बुक करा आणि पुढच्या ट्रिपवर 70% सूट मिळवा, 04-07-2025 पर्यंत वैध. तपशील: https://olacabs.com/offers/HhzzRP",yes,No,No
