LABEL,TEXT,URL,EMAIL,PHONE
ham,"आपका लोन EMI Rs.15,033 का आज सफलतापूर्वक ऑटो-डेबिट हो गया।",No,No,No
ham,"आपकी PM Kisan Samman Nidhi के तहत Rs.77,684 की छात्रवृत्ति आपके पंजीकृत बैंक खाते में जमा हो गई है।",No,No,No
ham,आपका लोन EMI Rs.534 का आज सफलतापूर्वक ऑटो-डेबिट हो गया।,No,No,No
ham,"आपका Electricity बिल Rs.696 का इस महीने जनरेट हुआ है, 07-10-2026 तक देय है।",No,No,No
ham,"आपका OTP 9720 है, इसे किसी के साथ साझा न करें, बैंक स्टाफ के साथ भी नहीं।",No,No,No
ham,"आपका OTP 4362 है, इसे किसी के साथ साझा न करें, बैंक स्टाफ के साथ भी नहीं।",No,No,No
ham,"Amazon के साथ आपका जॉब आवेदन प्राप्त हो गया है, HR एक सप्ताह में संपर्क करेगा।",No,No,No
ham,"आपका Post Matric Scholarship आवेदन सफलतापूर्वक प्राप्त हो गया है, स्थिति आधिकारिक पोर्टल पर देखी जा सकती है।",No,No,No
ham,"Infosys के साथ आपका जॉब आवेदन प्राप्त हो गया है, HR एक सप्ताह में संपर्क करेगा।",No,No,No
ham,"Wipro के साथ आपका जॉब आवेदन प्राप्त हो गया है, HR एक सप्ताह में संपर्क करेगा।",No,No,No
ham,"आपके Piped Gas कनेक्शन का नियमित मीटर निरीक्षण हो गया है, कोई समस्या नहीं मिली।",No,No,No
ham,"आपका Broadband बिल Rs.3,229 का इस महीने जनरेट हुआ है, 25-07-2026 तक देय है।",No,No,No
ham,"आपका Water बिल Rs.42,857 का इस महीने जनरेट हुआ है, 08-05-2026 तक देय है।",No,No,No
ham,"आपका OTP 6674 है, इसे किसी के साथ साझा न करें, बैंक स्टाफ के साथ भी नहीं।",No,No,No
ham,"डिनर स्प्लिट के लिए Rs.77,121 भेज दिए हैं, मिल जाए तो बताना।",No,No,No
ham,"आपकी PM Kisan Samman Nidhi के तहत Rs.15,158 की छात्रवृत्ति आपके पंजीकृत बैंक खाते में जमा हो गई है।",No,No,No
ham,"आपकी Piped Gas मीटर रीडिंग सफलतापूर्वक अपडेट हो गई है, कोई कार्रवाई आवश्यक नहीं है।",No,No,No
ham,"धन्यवाद, आपका Piped Gas भुगतान Rs.5,727 का प्राप्त हो गया है और कनेक्शन सक्रिय है।",No,No,No
ham,"आपका Water बिल Rs.28,023 का इस महीने जनरेट हुआ है, 16-05-2025 तक देय है।",No,No,No
ham,"आपके Water कनेक्शन का नियमित मीटर निरीक्षण हो गया है, कोई समस्या नहीं मिली।",No,No,No
ham,"आपके Broadband कनेक्शन का नियमित मीटर निरीक्षण हो गया है, कोई समस्या नहीं मिली।",No,No,No
ham,"आपके LPG कनेक्शन का नियमित मीटर निरीक्षण हो गया है, कोई समस्या नहीं मिली।",No,No,No
ham,"आपका PMAY आवेदन सफलतापूर्वक प्राप्त हो गया है, स्थिति आधिकारिक पोर्टल पर देखी जा सकती है।",No,No,No
ham,"आपका लोन EMI Rs.61,706 का आज सफलतापूर्वक ऑटो-डेबिट हो गया।",No,No,No
ham,"डिनर स्प्लिट के लिए Rs.44,476 भेज दिए हैं, मिल जाए तो बताना।",No,No,No
ham,"आपकी PM Ujjwala Yojana के तहत Rs.83,386 की छात्रवृत्ति आपके पंजीकृत बैंक खाते में जमा हो गई है।",No,No,No
ham,"आपका Ayushman Bharat आवेदन सफलतापूर्वक प्राप्त हो गया है, स्थिति आधिकारिक पोर्टल पर देखी जा सकती है।",No,No,No
ham,"आपका Electricity बिल Rs.8,928 का इस महीने जनरेट हुआ है, 19-01-2026 तक देय है।",No,No,No
ham,"आपका बीमा प्रीमियम भुगतान Rs.7,194 का सफल रहा, धन्यवाद।",No,No,No
ham,"आपकी PM Ujjwala Yojana के तहत Rs.2,473 की छात्रवृत्ति आपके पंजीकृत बैंक खाते में जमा हो गई है।",No,No,No
ham,"आपकी Broadband मीटर रीडिंग सफलतापूर्वक अपडेट हो गई है, कोई कार्रवाई आवश्यक नहीं है।",No,No,No
ham,"आपकी Water मीटर रीडिंग सफलतापूर्वक अपडेट हो गई है, कोई कार्रवाई आवश्यक नहीं है।",No,No,No
ham,आपकी Post Matric Scholarship के तहत Rs.723 की छात्रवृत्ति आपके पंजीकृत बैंक खाते में जमा हो गई है।,No,No,No
ham,"डिनर स्प्लिट के लिए Rs.841 भेज दिए हैं, मिल जाए तो बताना।",No,No,No
ham,आपके Canara Bank लोन खाते का इस महीने का स्टेटमेंट ऐप में उपलब्ध है।,No,No,No
ham,"आपका OTP 256626 है, इसे किसी के साथ साझा न करें, बैंक स्टाफ के साथ भी नहीं।",No,No,No
ham,"डिनर स्प्लिट के लिए Rs.742 भेज दिए हैं, मिल जाए तो बताना।",No,No,No
ham,"आपका लोन EMI Rs.5,883 का आज सफलतापूर्वक ऑटो-डेबिट हो गया।",No,No,No
ham,"आपका OTP 5043 है, इसे किसी के साथ साझा न करें, बैंक स्टाफ के साथ भी नहीं।",No,No,No
ham,आपका लोन EMI Rs.540 का आज सफलतापूर्वक ऑटो-डेबिट हो गया।,No,No,No
ham,"आपका बीमा प्रीमियम भुगतान Rs.21,156 का सफल रहा, धन्यवाद।",No,No,No
ham,"आपका National Scholarship Portal आवेदन सफलतापूर्वक प्राप्त हो गया है, स्थिति आधिकारिक पोर्टल पर देखी जा सकती है।",No,No,No
ham,आपके SBI लोन खाते का इस महीने का स्टेटमेंट ऐप में उपलब्ध है।,No,No,No
ham,"धन्यवाद, आपका LPG भुगतान Rs.79,893 का प्राप्त हो गया है और कनेक्शन सक्रिय है।",No,No,No
ham,"आपका OTP 820973 है, इसे किसी के साथ साझा न करें, बैंक स्टाफ के साथ भी नहीं।",No,No,No
ham,"डिनर स्प्लिट के लिए Rs.9,756 भेज दिए हैं, मिल जाए तो बताना।",No,No,No
ham,"डिनर स्प्लिट के लिए Rs.952 भेज दिए हैं, मिल जाए तो बताना।",No,No,No
ham,"आपका Electricity बिल Rs.605 का इस महीने जनरेट हुआ है, 21-04-2026 तक देय है।",No,No,No
ham,"आपका Water बिल Rs.82,458 का इस महीने जनरेट हुआ है, 28-07-2026 तक देय है।",No,No,No
ham,"आपका LPG बिल Rs.5,426 का इस महीने जनरेट हुआ है, 12-05-2025 तक देय है।",No,No,No
ham,"आपका बीमा प्रीमियम भुगतान Rs.70,012 का सफल रहा, धन्यवाद।",No,No,No
ham,"आपका लोन EMI Rs.8,343 का आज सफलतापूर्वक ऑटो-डेबिट हो गया।",No,No,No
ham,"आपकी PM Kisan Samman Nidhi के तहत Rs.61,242 की छात्रवृत्ति आपके पंजीकृत बैंक खाते में जमा हो गई है।",No,No,No
ham,आपका लोन EMI Rs.543 का आज सफलतापूर्वक ऑटो-डेबिट हो गया।,No,No,No
ham,"डिनर स्प्लिट के लिए Rs.84,639 भेज दिए हैं, मिल जाए तो बताना।",No,No,No
ham,"आपका लोन EMI Rs.70,976 का आज सफलतापूर्वक ऑटो-डेबिट हो गया।",No,No,No
ham,आपका लोन EMI Rs.961 का आज सफलतापूर्वक ऑटो-डेबिट हो गया।,No,No,No
ham,"धन्यवाद, आपका Broadband भुगतान Rs.704 का प्राप्त हो गया है और कनेक्शन सक्रिय है।",No,No,No
ham,"डिनर स्प्लिट के लिए Rs.961 भेज दिए हैं, मिल जाए तो बताना।",No,No,No
ham,"आपकी LPG मीटर रीडिंग सफलतापूर्वक अपडेट हो गई है, कोई कार्रवाई आवश्यक नहीं है।",No,No,No
ham,"डिनर स्प्लिट के लिए Rs.43,793 भेज दिए हैं, मिल जाए तो बताना।",No,No,No
ham,"आपकी PMAY के तहत Rs.4,448 की छात्रवृत्ति आपके पंजीकृत बैंक खाते में जमा हो गई है।",No,No,No
ham,"आपका OTP 7359 है, इसे किसी के साथ साझा न करें, बैंक स्टाफ के साथ भी नहीं।",No,No,No
ham,"आपका PM Ujjwala Yojana आवेदन सफलतापूर्वक प्राप्त हो गया है, स्थिति आधिकारिक पोर्टल पर देखी जा सकती है।",No,No,No
ham,"TCS के साथ आपका जॉब आवेदन प्राप्त हो गया है, HR एक सप्ताह में संपर्क करेगा।",No,No,No
ham,"आपका LPG बिल Rs.88,964 का इस महीने जनरेट हुआ है, 08-03-2025 तक देय है।",No,No,No
ham,"आपके Electricity कनेक्शन का नियमित मीटर निरीक्षण हो गया है, कोई समस्या नहीं मिली।",No,No,No
ham,"धन्यवाद, आपका Broadband भुगतान Rs.3,161 का प्राप्त हो गया है और कनेक्शन सक्रिय है।",No,No,No
ham,"आपकी LPG Subsidy Scheme के तहत Rs.6,293 की छात्रवृत्ति आपके पंजीकृत बैंक खाते में जमा हो गई है।",No,No,No
ham,"आपका Piped Gas बिल Rs.2,937 का इस महीने जनरेट हुआ है, 24-01-2026 तक देय है।",No,No,No
